Country,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Denmark,224,81,278
Switzerland,185,100,280
Iceland,233,61,78
Norway,169,71,129
Finland,263,133,97
Canada,240,122,100
Netherlands,251,88,190
New Zealand,203,79,175
Australia,261,72,212
Sweden,152,60,186
Israel,63,69,9
Austria,279,75,191
United States,249,158,84
Costa Rica,149,87,11
Germany,346,117,175
Brazil,245,145,16
Belgium,295,84,212
Ireland,313,118,165
Luxembourg,236,133,271
Mexico,238,68,5
Singapore,60,12,11
United Kingdom,219,126,195
Chile,130,124,172
Panama,285,104,18
Argentina,193,25,221
Czech Republic,361,170,134
United Arab Emirates,16,135,5
Uruguay,115,35,220
Malta,149,100,120
Colombia,159,76,3
France,127,151,370
Thailand,99,258,1
Qatar,1,42,7
Spain,284,157,112
Guatemala,53,69,2
Suriname,128,178,7
Bahrain,42,63,7
Trinidad and Tobago,197,156,7
Venezuela,333,100,3
Slovakia,196,293,116
El Salvador,52,69,2
Nicaragua,78,118,1
Uzbekistan,25,101,8
Italy,85,42,237
Ecuador,162,74,3
Belize,263,114,8
Japan,77,202,16
Kazakhstan,124,246,12
Moldova,109,226,18
Russian Federation,247,326,73
Poland,343,215,56
South Korea,140,16,9
Bolivia,167,41,8
Lithuania,343,244,56
Belarus,142,373,42
Slovenia,270,51,276
Peru,163,160,21
Turkmenistan,19,71,32
Mauritius,98,31,18
Latvia,281,216,62
Cyprus,192,154,113
Paraguay,213,117,74
Romania,297,122,167
Estonia,224,194,59
Jamaica,82,97,9
Croatia,230,87,254
Turkey,51,22,7
Jordan,6,21,1
Azerbaijan,21,46,5
Philippines,71,186,1
China,79,192,8
Kyrgyzstan,31,97,6
Serbia,283,131,127
Bosnia and Herzegovina,76,173,8
Montenegro,31,114,128
Dominican Republic,193,147,9
Morocco,12,6,10
Hungary,234,215,185
Lebanon,20,55,31
Portugal,194,67,339
Macedonia,106,27,86
Vietnam,111,2,1
Tunisia,51,3,20
Greece,133,112,218
Mongolia,77,189,8
Nigeria,42,5,2
Honduras,69,98,2
Zambia,32,19,4
Albania,89,132,54
Sierra Leone,25,3,2
Namibia,376,3,1
Cameroon,147,1,4
South Africa,225,76,81
Egypt,6,4,1
Armenia,21,179,11
Kenya,58,22,2
Ukraine,206,237,45
Ghana,31,3,10
Dem. Rep. Congo,32,3,1
Georgia,52,100,149
Rep. Congo,76,1,9
Senegal,9,1,7
Bulgaria,231,252,94
Zimbabwe,64,18,4
Malawi,8,11,1
Gabon,347,98,59
Mali,5,1,1
Haiti,1,326,1
Botswana,173,35,35
Comoros,1,3,1
Cote d'Ivoire,37,1,7
Cambodia,57,65,1
Angola,217,57,45
Niger,3,2,1
Chad,15,1,1
Burkina Faso,25,7,7
Madagascar,26,15,4
Tanzania,36,6,1
Liberia,19,152,2
Benin,34,4,13
Togo,36,2,19
Syria,5,35,16
